Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF2MN1CA,2017.06,4297.593,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2017.09,4290.188,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2017.12,4479.352,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2018.03,4157.549,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2018.06,4740.408,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2018.09,4740.973,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2018.12,5049.7,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2019.03,4634.699,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2019.06,5191.417,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2019.09,5138.297,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2019.12,5338.202,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2020.03,4736.102,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2020.06,4372.731,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2020.09,5085.325,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2020.12,5273.212,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2021.03,4852.331,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2021.06,5827.492,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2021.09,5631.932,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2021.12,6088.644,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2022.03,5546.301,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2022.06,6260.75,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2022.09,6578.61,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2022.12,6786.025,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2023.03,6073.846,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2023.06,6773.675,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2023.09,6862.927,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2023.12,6820.53,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2024.03,6038.411,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
